,at_least_4_accuracy,at_least_4_loss,at_least_6_or_at_most_2_accuracy,at_least_6_or_at_most_2_loss,loss,steps,total_F1,total_accuracy
1905,0.9956735372543335,0.020075293257832527,0.9892306327819824,0.2960394620895386,0.15941013395786285,19050,0.9924466013908386,0.992420494556427
1906,0.9970879554748535,0.019547266885638237,0.990209698677063,0.2962379455566406,0.15924891829490662,19060,0.9936279654502869,0.9936150908470154
1907,0.9964223504066467,0.02037687413394451,0.9898017644882202,0.2958633005619049,0.15947061777114868,19070,0.9930921196937561,0.9930796027183533
1908,0.9964223504066467,0.02028830163180828,0.9853960871696472,0.294632226228714,0.15880511701107025,19080,0.9908971190452576,0.9908551573753357
1909,0.9955071210861206,0.023320812731981277,0.9766663908958435,0.2941669523715973,0.16007158160209656,19090,0.9861031770706177,0.9859943985939026
1910,0.9962559342384338,0.021808063611388206,0.9608386754989624,0.2955911457538605,0.16004174947738647,19100,0.9787268042564392,0.9783737063407898
1911,0.9959231019020081,0.019376739859580994,0.9598596692085266,0.2953546941280365,0.1587185263633728,19110,0.9781281352043152,0.9777145981788635
1912,0.9956735372543335,0.02036863937973976,0.9670392274856567,0.2963183522224426,0.15969619154930115,19120,0.9815070629119873,0.9812160134315491
1913,0.9970047473907471,0.019431570544838905,0.961654543876648,0.29492083191871643,0.15852665901184082,19130,0.9795125126838684,0.9791563749313354
1914,0.9960063099861145,0.022091707214713097,0.9548829197883606,0.29690125584602356,0.1608436107635498,19140,0.9757200479507446,0.9752430319786072
1915,0.9954239130020142,0.02099093794822693,0.9602676033973694,0.29476046562194824,0.15921762585639954,19150,0.9780974984169006,0.9776734113693237
1916,0.996089518070221,0.019245686009526253,0.9554540514945984,0.2962205410003662,0.1590908318758011,19160,0.9760780930519104,0.9755725860595703
1917,0.9950079321861267,0.02218753658235073,0.9505588412284851,0.2963429093360901,0.16060906648635864,19170,0.9732272028923035,0.9725654721260071
1918,0.9957567453384399,0.019660355523228645,0.967528760433197,0.2938324809074402,0.15809035301208496,19180,0.9817798733711243,0.9815043807029724
1919,0.9959231019020081,0.02179684117436409,0.9794403314590454,0.2935164272785187,0.1589886099100113,19190,0.9876956939697266,0.9876009225845337
1920,0.9960063099861145,0.021343164145946503,0.9831116795539856,0.29366329312324524,0.15883812308311462,19200,0.9895555973052979,0.9894958138465881
1921,0.9946750998497009,0.02282671630382538,0.9838459491729736,0.29542791843414307,0.1604635864496231,19210,0.9892868995666504,0.9892074465751648
1922,0.9937598705291748,0.026980459690093994,0.981561541557312,0.29531630873680115,0.1624637246131897,19220,0.9877147674560547,0.9876009225845337
